10
102342|Boyle|Fergal	|5|3|3|1|2|4|2|1|4|5|5|3|3|1|4|4|1|1|1|5
234566|Foyle|Pat		|5|1|3|2|2|4|3|1|4|5|2|3|3|1|3|4|2|5|4|5
456789|Doyle|Mary		|5|4|3|3|2|2|1|1|4|5|3|3|3|5|2|4|2|5|4|5
234098|Gently|Dirk		|5|4|2|1|4|4|2|5|4|5|5|3|3|5|4|3|1|1|1|5
128734|Smith|Siobhon	|5|3|3|1|2|4|2|1|4|5|5|3|3|1|2|4|2|1|4|5
283843|Walsh|Paul		|4|3|3|1|2|4|2|4|4|5|5|3|3|1|2|4|2|1|4|4
329399|Miller|Andrew	|5|4|2|1|4|4|2|1|4|5|5|3|3|1|2|4|2|1|4|3
384848|Jameson|Niamh	|5|3|3|1|2|4|2|1|4|5|5|3|3|1|2|4|2|1|4|4
309944|Wood|Jason	|3|5|4|2|1|4|4|3|5|5|4|1|4|1|4|4|4|1|4|5
349933|Eastwood|Cathleen	|3|3|3|1|2|4|2|1|4|5|5|3|3|1|2|4|2|3|4|5
